Year,Player,Tm,Pos
2019,Lamar Jackson,Baltimore Ravens,QB
2018,Patrick Mahomes,Kansas City Chiefs,QB
2017,Tom Brady,New England Patriots,QB
2016,Matt Ryan,Atlanta Falcons,QB
2015,Cam Newton,Carolina Panthers,QB
2014,Aaron Rodgers,Green Bay Packers,QB
2013,Peyton Manning,Denver Broncos,QB
2012,Adrian Peterson,Minnesota Vikings,RB
2011,Aaron Rodgers,Green Bay Packers,QB
2010,Tom Brady,New England Patriots,QB
2009,Peyton Manning,Indianapolis Colts,QB
2008,Peyton Manning,Indianapolis Colts,QB
2007,Tom Brady,New England Patriots,QB
2006,LaDainian Tomlinson,San Diego Chargers,RB
2005,Shaun Alexander,Seattle Seahawks,RB
2004,Peyton Manning,Indianapolis Colts,QB
2003,Steve McNair,Tennessee Titans,QB
2003,Peyton Manning,Indianapolis Colts,QB
2002,Rich Gannon,Oakland Raiders,QB
2001,Kurt Warner,St. Louis Rams,QB
2000,Marshall Faulk,St. Louis Rams,RB
1999,Kurt Warner,St. Louis Rams,QB
1998,Terrell Davis,Denver Broncos,RB
1997,Barry Sanders,Detroit Lions,RB
1997,Brett Favre,Green Bay Packers,QB
1996,Brett Favre,Green Bay Packers,QB
1995,Brett Favre,Green Bay Packers,QB
1994,Steve Young,San Francisco 49ers,QB
1993,Emmitt Smith,Dallas Cowboys,RB
1992,Steve Young,San Francisco 49ers,QB
1991,Thurman Thomas,Buffalo Bills,RB
1990,Joe Montana,San Francisco 49ers,QB
1989,Joe Montana,San Francisco 49ers,QB
1988,Boomer Esiason,Cincinnati Bengals,QB
1987,John Elway,Denver Broncos,QB
1986,Lawrence Taylor,New York Giants,LB
1985,Marcus Allen,Los Angeles Raiders,RB
1984,Dan Marino,Miami Dolphins,QB
1983,Joe Theismann,Washington Redskins,QB
1982,Mark Moseley01,Washington Redskins,K
1981,Ken Anderson,Cincinnati Bengals,QB
1980,Brian Sipe,Cleveland Browns,QB
1979,Earl Campbell,Houston Oilers,RB
1978,Terry Bradshaw,Pittsburgh Steelers,QB
1977,Walter Payton,Chicago Bears,RB
1976,Bert Jones,Baltimore Colts,QB
1975,Fran Tarkenton,Minnesota Vikings,QB
1974,Ken Stabler,Oakland Raiders,QB
1973,O.J. Simpson,Buffalo Bills,RB
1972,Larry Brown,Washington Redskins,RB
1971,Alan Page,Minnesota Vikings,DT
1970,John Brodie,San Francisco 49ers,QB
1969,Roman Gabriel,Los Angeles Rams,QB
1968,Earl Morrall,Baltimore Colts,QB
1967,Johnny Unitas,Baltimore Colts,QB
1966,Bart Starr,Green Bay Packers,QB
1965,Jim Brown,Cleveland Browns,RB
1964,Johnny Unitas,Baltimore Colts,QB
1963,Y.A. Tittle,New York Giants,QB
1962,Jim Taylor,Green Bay Packers,RB
1961,Paul Hornung,Green Bay Packers,RB
1960,Norm Van Brocklin,Philadelphia Eagles,QB
1959,Johnny Unitas,Baltimore Colts,QB
1958,Jim Brown,Cleveland Browns,RB
1957,Jim Brown,Cleveland Browns,RB